run,N,node,live_sent,resync_sent,received,head_ms,converged_ms,fp_unique,fp_settled
1,2,1,5,3,1,1029,1029,1,2
1,2,2,5,0,4,305,305,1,2
1,4,1,9,15,3,1096,1096,1,3
1,4,2,9,0,13,858,858,1,3
1,4,3,9,0,18,859,859,1,3
1,4,4,9,0,18,866,NA,1,3
1,8,1,17,65,7,1101,1101,1,2
1,8,2,17,0,36,991,991,1,2
1,8,3,17,0,72,1045,NA,1,2
1,8,4,17,0,35,1028,NA,1,2
1,8,5,17,0,43,1065,NA,1,2
1,8,6,17,0,54,1080,NA,1,2
1,8,7,17,0,26,1032,NA,1,2
1,8,8,17,0,80,1076,NA,1,2
1,16,1,33,385,129,3967,NA,1,0
1,16,2,33,9,338,3775,NA,1,0
1,16,3,33,0,514,3836,NA,1,0
1,16,4,33,17,468,3768,NA,1,0
1,16,5,33,0,452,3747,NA,1,0
1,16,6,33,0,296,3669,NA,1,0
1,16,7,33,0,452,3885,NA,1,0
1,16,8,33,17,482,3835,NA,1,0
1,16,9,33,55,481,3897,NA,1,0
1,16,10,33,0,349,3800,NA,1,0
1,16,11,33,0,349,3657,NA,1,0
1,16,12,33,17,439,4013,NA,1,0
1,16,13,33,0,452,3706,NA,1,0
1,16,14,33,18,279,3903,NA,1,0
1,16,15,33,0,499,3758,NA,1,0
1,16,16,33,0,484,4049,NA,1,0
2,2,1,5,3,1,1029,1029,1,2
2,2,2,5,0,4,306,306,1,2
2,4,1,9,15,3,1052,1052,1,4
2,4,2,9,0,8,855,855,1,4
2,4,3,9,0,18,861,861,1,4
2,4,4,9,0,13,860,860,1,4
2,8,1,17,67,7,1390,1390,1,2
2,8,2,17,0,25,1084,NA,1,2
2,8,3,17,0,56,1077,NA,1,2
2,8,4,17,0,83,1340,NA,1,2
2,8,5,17,0,65,1284,1284,1,2
2,8,6,17,0,46,1049,NA,1,2
2,8,7,17,0,35,1032,NA,1,2
2,8,8,17,0,65,1119,NA,1,2
2,16,1,33,406,32,3408,3408,1,1
2,16,2,33,0,404,3433,NA,1,1
2,16,3,33,0,438,3559,NA,1,1
2,16,4,33,0,285,3523,NA,1,1
2,16,5,33,0,200,3342,NA,1,1
2,16,6,33,0,218,3463,NA,1,1
2,16,7,33,0,387,3458,NA,1,1
2,16,8,33,0,319,3415,NA,1,1
2,16,9,33,0,345,3561,NA,1,1
2,16,10,33,0,421,3464,NA,1,1
2,16,11,33,0,438,3668,NA,1,1
2,16,12,33,0,455,3791,NA,1,1
2,16,13,33,0,319,3383,NA,1,1
2,16,14,33,17,387,3496,NA,1,1
2,16,15,33,0,124,3490,NA,1,1
2,16,16,33,0,363,3433,NA,1,1
3,2,1,5,3,1,1030,1030,1,2
3,2,2,5,0,4,306,306,1,2
3,4,1,9,15,3,1050,1050,1,4
3,4,2,9,0,13,854,854,1,4
3,4,3,9,0,18,852,852,1,4
3,4,4,9,0,8,856,856,1,4
3,8,1,17,67,7,1360,1360,1,2
3,8,2,17,0,65,1044,NA,1,2
3,8,3,17,0,74,1024,1024,1,2
3,8,4,17,0,26,1039,NA,1,2
3,8,5,17,0,26,1029,NA,1,2
3,8,6,17,0,26,1032,NA,1,2
3,8,7,17,0,74,1044,NA,1,2
3,8,8,17,0,56,1073,NA,1,2
3,16,1,33,422,61,3736,3736,1,1
3,16,2,33,0,377,3537,NA,1,1
3,16,3,33,0,399,3490,NA,1,1
3,16,4,33,0,378,3554,NA,1,1
3,16,5,33,17,417,3633,NA,1,1
3,16,6,33,0,377,3575,NA,1,1
3,16,7,33,0,363,3620,NA,1,1
3,16,8,33,17,400,3482,NA,1,1
3,16,9,33,0,483,3546,NA,1,1
3,16,10,33,17,417,3620,NA,1,1
3,16,11,33,0,485,3615,NA,1,1
3,16,12,33,0,377,3575,NA,1,1
3,16,13,33,0,152,3562,NA,1,1
3,16,14,33,0,417,3590,NA,1,1
3,16,15,33,0,451,3717,NA,1,1
3,16,16,33,0,377,3584,NA,1,1
4,2,1,5,3,1,1029,1029,1,2
4,2,2,5,0,4,307,307,1,2
4,4,1,9,15,3,1050,1050,1,4
4,4,2,9,0,8,857,857,1,4
4,4,3,9,0,13,855,855,1,4
4,4,4,9,0,18,857,857,1,4
4,8,1,17,65,7,1388,1388,1,1
4,8,2,17,0,25,1044,NA,1,1
4,8,3,17,0,72,1068,NA,1,1
4,8,4,17,0,54,1063,NA,1,1
4,8,5,17,0,53,1080,NA,1,1
4,8,6,17,0,72,1079,NA,1,1
4,8,7,17,0,45,1026,NA,1,1
4,8,8,17,0,36,1051,NA,1,1
4,16,1,33,401,15,3083,3083,1,1
4,16,2,33,0,416,3247,NA,1,1
4,16,3,33,0,314,3125,NA,1,1
4,16,4,33,0,212,3084,NA,1,1
4,16,5,33,0,287,2958,NA,1,1
4,16,6,33,0,212,3069,NA,1,1
4,16,7,33,0,397,3051,NA,1,1
4,16,8,33,0,212,2925,NA,1,1
4,16,9,33,0,382,3187,NA,1,1
4,16,10,33,0,211,2929,NA,1,1
4,16,11,33,0,348,3269,NA,1,1
4,16,12,33,0,246,2899,NA,1,1
4,16,13,33,0,211,3029,NA,1,1
4,16,14,33,0,382,3122,NA,1,1
4,16,15,33,0,365,3015,NA,1,1
4,16,16,33,0,280,2977,NA,1,1
5,2,1,5,3,1,1034,1034,1,2
5,2,2,5,0,4,335,335,1,2
5,4,1,9,15,3,1059,1059,1,4
5,4,2,9,0,13,865,865,1,4
5,4,3,9,0,18,859,859,1,4
5,4,4,9,0,8,869,869,1,4
5,8,1,17,64,7,1112,1112,1,2
5,8,2,17,0,44,1022,NA,1,2
5,8,3,17,0,26,1021,NA,1,2
5,8,4,17,0,62,980,980,1,2
5,8,5,17,0,44,1010,NA,1,2
5,8,6,17,0,71,1045,NA,1,2
5,8,7,17,0,35,1033,NA,1,2
5,8,8,17,0,62,1055,NA,1,2
5,16,1,33,349,92,3535,NA,1,0
5,16,2,33,0,458,3929,NA,1,0
5,16,3,33,0,354,3762,NA,1,0
5,16,4,33,19,439,3988,NA,1,0
5,16,5,33,0,324,3665,NA,1,0
5,16,6,33,17,443,3879,NA,1,0
5,16,7,33,0,200,3691,NA,1,0
5,16,8,33,18,309,3530,NA,1,0
5,16,9,33,0,272,3547,NA,1,0
5,16,10,33,17,338,3708,NA,1,0
5,16,11,33,0,439,3812,NA,1,0
5,16,12,33,17,429,3858,NA,1,0
5,16,13,33,0,392,3734,NA,1,0
5,16,14,33,0,227,3551,NA,1,0
5,16,15,33,0,324,3785,NA,1,0
5,16,16,33,0,409,3905,NA,1,0
